Name,Company,Level Audition,Re-Evaluation,note,ep1,ep2,ep3,ep5,ep6,ep8,ep11,ep12
Won Hyuk,E Ent.,B,D,,83,99,57,57,48,33,-
Won Hyunsik,Happy Face Ent.,C,D,,72,73,76,77,-
Woo Jewon,Around Us Ent.,A,B,,63,60,55,55,50,54,-
Yoo Geunmin,Million Marlet,C,D,,101,77,68,70,-
Yoon Minguk,Source Music,D,B,,96,85,99,92,-
Yu Seongjun,Yuehua Ent.,X,F,,78,93,95,86,-
Yun Hyunjo,Gost Ent.,X,F,,98,81,90,96,-
Yun Junghwan,BrandNew Music,A,B,,58,18,23,31,35,38,-
Yun Seobin,JYP Ent.,C,X,,12,100,100,100,-
Yuri,ESteem,B,D,,33,34,27,29,33,40,-
